2019117,50102,75
2019117,50103,91
2019117,50104,99
2019117,50105,76
2019117,50106,95
2019117,50107,93
2019117,50108,68
2019117,50109,73
2019117,50110,96
2019117,50111,76
2019117,50112,89
2019117,50113,84
2019117,50114,68
2019117,50115,96
2019117,50116,68
2019119,50101,90
2019119,50102,71
2019119,50103,89
2019119,50104,68
2019119,50105,83
2019119,50106,84
2019119,50107,90
2019119,50108,85
2019119,50109,84
2019119,50110,74
2019119,50112,70
2019119,50113,84
2019119,50114,95
2019119,50115,89
2019119,50116,97
